product_id,product_name,category,subcategory,brand,supplier,unit_price,cost,weight_kg
1,Toys Product 1,Toys,Toys - Standard,Brand C,Supplier Z,158.61,95.17,3.46
2,Home & Garden Product 2,Home & Garden,Home & Garden - Budget,Brand B,Supplier Y,386.52,231.91,0.3
3,Clothing Product 3,Clothing,Clothing - Standard,Brand A,Supplier X,295.29,177.17,0.2
4,Toys Product 4,Toys,Toys - Budget,Brand A,Supplier Z,163.43,98.06,3.82
5,Beauty Product 5,Beauty,Beauty - Budget,Brand D,Supplier X,38.26,22.96,4.02
6,Books Product 6,Books,Books - Premium,Brand B,Supplier Z,84.41,50.65,4.96
7,Sports Product 7,Sports,Sports - Budget,Brand C,Supplier Z,199.79,119.87,3.86
8,Toys Product 8,Toys,Toys - Premium,Brand A,Supplier Y,125.31,75.19,3.71
9,Toys Product 9,Toys,Toys - Standard,Brand C,Supplier Y,119.25,71.55,2.53
10,Clothing Product 10,Clothing,Clothing - Premium,Brand D,Supplier Z,49.95,29.97,4.01
11,Sports Product 11,Sports,Sports - Standard,Brand C,Supplier Y,33.7,20.22,2.12
12,Home & Garden Product 12,Home & Garden,Home & Garden - Standard,Brand C,Supplier Z,370.46,222.28,0.61
13,Food Product 13,Food,Food - Budget,Brand C,Supplier Z,5.08,3.05,2.9
14,Electronics Product 14,Electronics,Electronics - Premium,Brand C,Supplier Z,1606.08,963.65,4.65
15,Home & Garden Product 15,Home & Garden,Home & Garden - Premium,Brand B,Supplier Y,169.78,101.87,3.58
16,Food Product 16,Food,Food - Budget,Brand B,Supplier Y,13.81,8.29,2.35
17,Clothing Product 17,Clothing,Clothing - Budget,Brand B,Supplier X,56.37,33.82,3.47
18,Beauty Product 18,Beauty,Beauty - Premium,Brand A,Supplier Z,77.38,46.43,1.31
19,Beauty Product 19,Beauty,Beauty - Budget,Brand B,Supplier Y,148.56,89.14,0.62
20,Toys Product 20,Toys,Toys - Premium,Brand B,Supplier X,143.75,86.25,2.65
21,Beauty Product 21,Beauty,Beauty - Budget,Brand C,Supplier X,189.56,113.74,2.62
22,Food Product 22,Food,Food - Premium,Brand C,Supplier X,79.32,47.59,4.85
23,Beauty Product 23,Beauty,Beauty - Premium,Brand A,Supplier Z,105.02,63.01,4.56
24,Electronics Product 24,Electronics,Electronics - Standard,Brand B,Supplier Y,1307.85,784.71,2.98
25,Books Product 25,Books,Books - Standard,Brand D,Supplier Z,80.37,48.22,4.51
26,Books Product 26,Books,Books - Standard,Brand C,Supplier X,88.26,52.96,4.26
27,Electronics Product 27,Electronics,Electronics - Budget,Brand B,Supplier Z,931.2,558.72,2.19
28,Food Product 28,Food,Food - Standard,Brand C,Supplier Z,97.84,58.7,1.24
29,Beauty Product 29,Beauty,Beauty - Budget,Brand A,Supplier Z,209.28,125.57,2.02
30,Books Product 30,Books,Books - Budget,Brand B,Supplier Z,32.45,19.47,2.63
31,Electronics Product 31,Electronics,Electronics - Budget,Brand D,Supplier Y,951.02,570.61,2.58
32,Toys Product 32,Toys,Toys - Premium,Brand D,Supplier Y,98.33,59.0,2.14
33,Clothing Product 33,Clothing,Clothing - Budget,Brand C,Supplier X,125.96,75.58,4.96
34,Electronics Product 34,Electronics,Electronics - Budget,Brand B,Supplier X,1003.17,601.9,4.98
35,Clothing Product 35,Clothing,Clothing - Standard,Brand D,Supplier Y,245.78,147.47,0.56
36,Sports Product 36,Sports,Sports - Premium,Brand A,Supplier Y,175.24,105.14,2.59
37,Sports Product 37,Sports,Sports - Premium,Brand B,Supplier X,209.25,125.55,1.07
38,Toys Product 38,Toys,Toys - Premium,Brand B,Supplier Y,67.27,40.36,2.95
39,Toys Product 39,Toys,Toys - Budget,Brand C,Supplier Z,39.03,23.42,3.85
40,Home & Garden Product 40,Home & Garden,Home & Garden - Premium,Brand D,Supplier Y,202.64,121.58,1.06
41,Beauty Product 41,Beauty,Beauty - Budget,Brand C,Supplier X,67.09,40.25,1.5
42,Beauty Product 42,Beauty,Beauty - Budget,Brand A,Supplier X,47.41,28.45,0.78
43,Home & Garden Product 43,Home & Garden,Home & Garden - Standard,Brand D,Supplier X,219.16,131.5,1.53
44,Toys Product 44,Toys,Toys - Budget,Brand B,Supplier Z,178.95,107.37,1.85
45,Toys Product 45,Toys,Toys - Standard,Brand A,Supplier X,78.77,47.26,0.28
46,Food Product 46,Food,Food - Standard,Brand A,Supplier X,21.46,12.88,2.15
47,Books Product 47,Books,Books - Standard,Brand C,Supplier Y,33.89,20.33,4.02
48,Clothing Product 48,Clothing,Clothing - Premium,Brand B,Supplier Z,234.47,140.68,3.03
49,Home & Garden Product 49,Home & Garden,Home & Garden - Budget,Brand A,Supplier Y,397.76,238.66,1.69
50,Beauty Product 50,Beauty,Beauty - Premium,Brand B,Supplier X,186.39,111.83,4.36
51,Sports Product 51,Sports,Sports - Budget,Brand A,Supplier Y,336.7,202.02,1.99
52,Books Product 52,Books,Books - Budget,Brand C,Supplier X,47.73,28.64,3.39
53,Books Product 53,Books,Books - Standard,Brand C,Supplier Z,43.39,26.03,1.73
54,Home & Garden Product 54,Home & Garden,Home & Garden - Premium,Brand C,Supplier Y,776.53,465.92,0.13
55,Beauty Product 55,Beauty,Beauty - Budget,Brand C,Supplier X,126.95,76.17,1.24
56,Home & Garden Product 56,Home & Garden,Home & Garden - Premium,Brand A,Supplier Y,405.88,243.53,3.42
57,Food Product 57,Food,Food - Budget,Brand B,Supplier Z,10.13,6.08,3.73
58,Sports Product 58,Sports,Sports - Standard,Brand B,Supplier Y,215.15,129.09,4.46
59,Electronics Product 59,Electronics,Electronics - Budget,Brand B,Supplier X,408.3,244.98,0.4
60,Beauty Product 60,Beauty,Beauty - Standard,Brand A,Supplier Y,99.89,59.93,0.61
61,Electronics Product 61,Electronics,Electronics - Standard,Brand A,Supplier Z,891.75,535.05,0.43
62,Toys Product 62,Toys,Toys - Premium,Brand A,Supplier X,140.47,84.28,1.12
63,Sports Product 63,Sports,Sports - Budget,Brand A,Supplier Y,145.1,87.06,2.24
64,Beauty Product 64,Beauty,Beauty - Premium,Brand D,Supplier X,224.57,134.74,3.67
65,Sports Product 65,Sports,Sports - Budget,Brand B,Supplier Z,350.79,210.47,3.7
